month,level_1,level_2,value
1965-07,All Items,Housing & Utilities,27.92
1965-07,All Items,Household Durables & Services,32.095
1965-07,All Items,Health Care,18.604
1965-07,All Items,Transport,20.608
1965-07,All Items,Communication,133.733
1965-07,All Items,Recreation & Culture,49.124
1965-07,All Items,Education,15.218
1965-07,All Items,Miscellaneous Goods & Services,18.858
1965-08,All Items,Food,22.837
1965-08,All Items,Food Excl Food Serving Services,na
1965-08,All Items,Food Serving Services,na
1965-08,All Items,Clothing & Footwear,53.458
1965-08,All Items,Housing & Utilities,27.836
1965-08,All Items,Household Durables & Services,32.095
1965-08,All Items,Health Care,18.604
1965-08,All Items,Transport,20.608
1965-08,All Items,Communication,133.733
1965-08,All Items,Recreation & Culture,49.124
1965-08,All Items,Education,15.218
1965-08,All Items,Miscellaneous Goods & Services,18.865
1965-09,All Items,Food,22.978
1965-09,All Items,Food Excl Food Serving Services,na
1965-09,All Items,Food Serving Services,na
1965-09,All Items,Clothing & Footwear,53.506
1965-09,All Items,Housing & Utilities,27.748
1965-09,All Items,Household Durables & Services,32.203
1965-09,All Items,Health Care,18.604
1965-09,All Items,Transport,20.608
1965-09,All Items,Communication,133.733
1965-09,All Items,Recreation & Culture,49.124
1965-09,All Items,Education,15.218
1965-09,All Items,Miscellaneous Goods & Services,18.866
1965-10,All Items,Food,22.941
1965-10,All Items,Food Excl Food Serving Services,na
1965-10,All Items,Food Serving Services,na
